type_id;vendor_name;vendor_name_abbr;name;name_extension;seats;doors;gear;trunk;air_condition;gps;min_age;type;drive;img_file_name;price;loc_name
28;Audi;Audi;A6 45/50 ;Aut.;5;4;automatic;2;1;1;21;Limousine;Combuster;audi-a6-4d-grau-2018.png;152.00;Paderborn
37;BMW;BMW;X4 30;;5;5;automatic;3;1;1;25;SUV;Combuster;bmw-x4-m40i-5d-schwarz-2019.png;144.32;Paderborn
45;Audi;Audi;A7;Coupé;4;4;automatic;2;1;1;25;Coupé;Combuster;audi-a7-4d-blau-2019.png;259.49;Paderborn
46;BMW;BMW;X5;;5;5;automatic;4;1;1;25;SUV;Combuster;bmw-x5-5d-weiss-2018.png;242.00;Paderborn
48;Mercedes-Benz;Mercedes-Benz;S350L;;5;4;automatic;2;1;1;25;Limousine;Combuster;mb-s-klasse-4d-schwarz-2017-1.png;269.48;Paderborn
57;Mercedes-Benz;Mercedes-Benz;G500;;5;5;automatic;2;1;1;25;SUV;Combuster;mb-g-klasse-5d-grau-2018.png;609.00;Paderborn
58;Range Rover;Range Rover;Sport;;5;5;automatic;2;1;1;25;SUV;Combuster;land-rover-range-rover-sport-5d-silber-2018.png;433.49;Paderborn
58;Range Rover;Range Rover;Sport;;5;5;automatic;2;1;1;25;SUV;Combuster;land-rover-range-rover-sport-5d-silber-2018.png;433.49;Paderborn
59;BMW;BMW;X5M 50D;;5;5;automatic;4;1;1;25;SUV;Combuster;bmw-x3-m40i-5d-schwarz-2019-2.png;279.49;Paderborn
2;Volkswagen;VW;Polo;;5;5;manually;1;1;0;18;Limousine;Combuster;vw-polo-5d-weiss-2020.png;61.24;Rostock
16;BMW;BMW;1er;Aut.;5;4;automatic;2;1;0;18;Limousine;Combuster;bmw-1er-5d-weiss-2019-1.png;108.31;Rostock
17;BMW;BMW;M135;;5;5;automatic;2;1;1;25;Limousine;Combuster;bmw-m140i-5d-schwarz-2018.png;88.99;Rostock
19;BMW;BMW;3er;Touring;5;5;manually;3;1;0;21;Combi;Combuster;bmw-3er-kombi-grau-2019.png;124.49;Rostock
20;Volkswagen;VW;Tiguan;Allspace;5;5;manually;2;1;0;21;SUV;Combuster;vw-tiguan-allspace-5d-grau-2019.png;108.50;Rostock
31;Volkswagen;VW;Sharan;Aut.;7;4;automatic;2;1;0;21;Mehrsitzer;Combuster;vw-sharan-van-blau-2016-1.png;196.48;Rostock
